city,station,lat,lon,pm25
Bengaluru,BTM Layout,12.9166,77.6101,53.4243427230047
Bengaluru,Bannerghatta,12.8002,77.5773,40.847370145063174
Bengaluru,Electronic City,12.8399,77.677,44.55766885553471
Bengaluru,Hebbal,13.0358,77.597,56.691852374236014
Bengaluru,Jayanagar,12.9308,77.5838,49.50367605633803
Bengaluru,Marathahalli,12.9591,77.6972,48.604068512435475
Bengaluru,Peenya,13.0297,77.5199,60.24569143932267
Bengaluru,Silk Board,12.9172,77.622,51.960389671361504
Bengaluru,Whitefield,12.9698,77.7499,46.079540122008446
Bengaluru,Yelahanka,13.1007,77.5963,43.21208626347867
Chennai,Adyar,13.0012,80.2565,41.20879535558781
Chennai,Alandur,12.999,80.2009,47.03682879377432
Chennai,Ambattur,13.0982,80.1599,42.87355307804169
Chennai,Kodungaiyur,13.1312,80.2476,45.33101068999028
Chennai,Manali,13.1653,80.2617,56.092828979793005
Chennai,Nungambakkam,13.0569,80.2425,46.09222276264592
Chennai,Perungudi,12.9632,80.2376,50.3127587890625
Chennai,Royapuram,13.1121,80.2948,44.21326867119301
Chennai,Tambaram,12.9249,80.1,38.50176811594203
Chennai,Velachery,12.9815,80.218,49.6945104724793
Delhi,Anand Vihar,28.6469,77.316,165.80490467111534
Delhi,Dwarka,28.5921,77.046,118.9870893776322
Delhi,ITO,28.6289,77.2409,151.55012646370025
Delhi,Mandir Marg,28.6353,77.201,124.53416939635004
Delhi,Okhla,28.5501,77.27,134.22360786148806
Delhi,Punjabi Bagh,28.6742,77.1311,141.16069723912025
Delhi,RK Puram,28.5651,77.1835,131.32944782405244
Delhi,Rohini,28.7495,77.068,135.30321629213483
Delhi,Shadipur,28.6517,77.1477,144.74969101123597
Delhi,Wazirpur,28.7041,77.167,160.98674727358937
Hyderabad,Bollaram,17.5326,78.3718,68.22309780065513
Hyderabad,Hayathnagar,17.3329,78.6115,48.357309312119796
Hyderabad,Jubilee Hills,17.4326,78.4071,56.91126813289659
Hyderabad,Kokapet,17.3841,78.3286,54.000350959288724
Hyderabad,Kompally,17.5606,78.48,55.134365933551706
Hyderabad,Nacharam,17.4098,78.5406,65.26124473561067
Hyderabad,Patancheruvu,17.5273,78.2642,52.341806270472624
Hyderabad,Sanathnagar,17.4399,78.4285,62.59051006083295
Hyderabad,Shamshabad,17.2403,78.4294,49.964403369209165
Hyderabad,Somajiguda,17.4239,78.4738,59.69682264857276
Jaipur,Civil Lines,26.935,75.82,48.1245898530109
Jaipur,Malviya Nagar,26.8526,75.8235,51.40155418250951
Jaipur,Mansarovar,26.8489,75.7711,57.87740740740741
Jaipur,Pratap Nagar,26.82,75.81,43.59779036827195
Jaipur,Sanganer,26.79,75.82,42.02220386974988
Jaipur,Shastri Nagar,26.933,75.8069,55.867883141762455
Jaipur,Sindhi Camp,26.9196,75.7992,53.48256091734353
Jaipur,Sodala,26.9419,75.77,45.50153119092628
Jaipur,Tonk Road,26.8826,75.8069,50.17018500948767
Jaipur,Vaishali Nagar,26.92,75.735,46.8860624704212
